"V1","V2"
"Ate1","Rps20"
"Edf1","Canx"
"Pla2g15","mKIAA1207"
"Smarcc2","Ptms"
"Palm","Hmgb2"
"Zc3hav1","Eif2ak2"
"Adap1","Pdap1"
"Atp5l","Adk"
"Pebp1","Ap1m1"
"Gdap2","Wdr41"
"Sh3glb1","Prkar2b"
"Rel","Ehd1"
"Sqstm1","Filip1l"
"N4bp1","Rbm7"
"Zbtb7a","Igsf6"
"Yy1","Ptpn18"
"Robld3","Dis3l2"
"Spnb2","Nomo1"
"Ifi205","Tlr2"
"Trnt1","Vps4b"
"Mosc2","Zfyve26"
"Sh3glb2","Dus3l"
"G3bp2","Mtm1"
"Heatr7a","Ccdc88a"
"Prpf40a","Lrpprc"
"Il1a","Nlrp3"
"Ptma","Txnrd1"
"Dnaja2","Lgals3bp"
"Nufip2","Grb2"
"Rgs20","Irf4"
"Pcx","Fam175b"
"Atp6v1e1","Gnai3"
"Ankrd50","Stk3"
"Cfb","Hp"
"Pla2g4a","Htatsf1"
"Ftsjd2","Rai14"
"Nsfl1c","Dock7"
"Myo5b","Gpsm3"
"Dmxl2","Suclg1"
"AK164362","Abhd5"
"Bcap31","Tmed10"
"Rufy3","Tradd"
"Sqstm1","Fpr2"
"Grn","Pi4k2a"
"Trex1","Oas1g"
"Pid1","Tapbp"
"Hspa8","Gnas"
"Bcas2","Adk"
"Tmed10","Nucb2"
"Rbm33","Gstm7"
"Tufm","4931406C07Rik"
"Mcat","Flnb"
"Mcm2","Nup153"
"Decr1","Eif2c2"
"Snx27","Kif1b"
"Isy1","Rab23"
"Supt6h","Hpse"
"BC002288","Ifih1"
"Gusb","Eps8"
"Pnp","Rel"
"Slc7a2","Oasl1"
"Arfgap2","Atg3"
"Mat2b","Mrpl13"
"Exosc1","Rnh1"
"Rfc1","Ndufs7"
"Utp18","Acsl3"
"Cd40","Gch1"
"Gm4902","Gch1"
"Hectd1","Dctn6"
"Kpna3","Prdx5"
"Il16","Hausp"
"limd1","Lims1"
"Tmed10","Ap3d1"
"Abi1","Mcm5"
"Fkbp8","Dnase2a"
"Taf4a","Zfp828"
"Ttc35","Gcsh"
"Glyr1","2500003M10Rik"
"Hpse","Ptms"
"Tcea1","Ube2m"
"Rgs14","Zfand2b"
"Cpeb4","Trafd1"
"Cst3","Hexa"
"Ifi205","AK087295"
"Atp1a1","2500003M10Rik"
"Mki67","Adrm1"
"Palm","Mt1"
"Ctps","Napa"
"Ifih1","Saa3"
"Mcm3","Snap23"
"Snx9","Usp39"
"B630005N14Rik","Cox6c"
"Gbp3","Car13"
"Ppig","Nsmce2"
"Gpsm3","Sucla2"
"Zc3hav1","Cycs"
"Igf2bp3","Mecr"
"Psmd14","Gtf3c4"
"Poldip3","Ddx5"
"5031439G07Rik","Golga5"
"Malt1","Sp110"
"Ensa","Pa2g4"
"Rbpms","Mcmbp"
"Chmp4b","Diap2"
"Ddt","Gpx1"
"Ugdh","mKIAA0050"
"Ndufa9","AK164362"
"Puf60","Anpep"
"Iars","Glg1"
"Chm","Slc25a22"
"Rab5c","2310045N01Rik"
"Psmd8","Sphk2"
"Irg1","Rnf213"
"Rpl4","Pgk1"
"Pcx","Htra2"
"Agfg2","Txlna"
"Irgm1","AK087295"
"Nup133","Cnot2"
"Ifit1","Parp14"
"Lipa","Ndufb11"
"Trip12","Zeb2"
"Acad9","mFLJ00067"
"Rasa3","Cd97"
"Irgm1","Sp100"
"Mpp1","Igsf6"
"BC003331","Crk"
"Opa1","Mvk"
"Mcm2","Mical1"
"Txnrd1","Fam177a"
"Psmf1","Hpca"
"Smc4","Rbm15"
"Saa3","Trafd1"
"Grcc10","Pld3"
"AK171687","Raf1"
"Puf60","Pkn1"
"Dbi","Eps8"
"Mki67ip","Rpsa"
"Pcbp2","Acat3"
"Ythdc1","Tuba1a"
"Kpna3","Fscn1"
"Atp2b1","Vps45"
"Dtx3l","Ifit2"
"Rnf213","Ifitm3"
"Cd38","Syk"
"Lrp1","Pdha1"
"Gcfc1","Rab11fip2"
"Exosc6","Calr4"
"Slc7a2","Oas3"
"Rab11fip5","Ddx17"
"Fhl3","Vav1"
"Gusb","Wdr26"
"Irg1","Serpinb2"
"Clic1","Gtl-13"
"Ddx24","Gm4902"
"Lipe","Asap1"
"Nr3c1","Ftsjd2"
"Rnf114","1810029B16Rik"
"Pld3","Glul"
"Tpt1","Nucks1"
"Smarcd2","Prg2"
"Cpeb4","Slc7a2"
"Tbc1d13","Brox"
"Dhrs4","Usp25"
"Dhfr","Mycbp"
"Hspa8","Rab8B"
"Rbm47","Myl6"
"Sort1","Tomm70a"
"Cdc73","Dcps"
"Xaf1","Ifih1"
"Exoc7","Tmed9"
"Saa3","Rasa4"
"Epb4.1","Suclg1"
"Rab11fip5","Glyr1"
"Dlst","Peci"
"S100a4","Acat1"
"Nfs1","Rnf40"
"Nae1","Ppp1r7"
"nssr 1","Rpl17"
"Sgta","Vamp8"
"Hars2","U2af1"
"Lrp1","Lipa"
"Znfx1","AK087295"
"Syk","Ampd3"
"Aifm2","Crry"
"Smap2","Snx12"
"Rbm22","Ranbp2"
"Slc2a6","Uba1"
"Spnb2","Grpel1"
"Pyhin1","Trex1"
"Pyhin1","Rsad2"
"Eif2ak2","Mlkl"
"Hspa8","Mir684-1"
"Ralgapb","Slc39a7"
"Bst2","Malt1"
"Lrch3","Dnaja1"
"mKIAA0050","Stam2"
"Cdc73","Ccdc88b"
"Rin3","Pstpip1"
"Snrnp70","Atp5l"
"Nmral1","Rnf40"
"2010321M09Rik","Napg"
"Acot8","Bloc1s3"
"Ddx58","AK087295"
"Ftsj3","Ly9"
"Med20","Exosc4"
"Slc2a6","Mlkl"
"Cnp","9030625A04Rik"
"Clec4d","Ifit3"
"Cebpb","Slc3a2"
"Oas1g","Oas3"
"Mfap1b","Pnkp"
"Nup205","Pelo"
"Pfkp","Mlkl"
"Ifit1","Cpd"
"Cog4","Ubxn6"
"Rin3","Fkbp3"
"Sod2","Rpl15"
"N4bp1","Rhog"
"Rnf40","Gsto1"
"Gmppb","Fxr1"
"Supt6h","Prdx5"
"Rpl23","Dcun1d1"
"Mrps9","Ndufa12"
"Slc7a2","Cmpk2"
"Pf4","Pld3"
"Gsto1","Mrps22"
"Scin","Atp6v0d1"
"Evi2b","Uqcrh"
"Celf1","Rbx1"
"Gbp5","Fpr2"
"Atp1a1","mKIAA1558"
"Cd14","Rsad2"
"Ifit3","Cfb"
"Lss","Ragd"
"mKIAA0136","Mcmbp"
"Tor1aip1","Actn1"
"Mrpl53","Nt5c2"
"Cpne3","Blvrb"
"Ifih1","Malt1"
"Baz1a","Hccs"
"Ngp","Ddx5"
"Pla2g7","Mcat"
"Selenbp1","Hp1bp3"
"Ppih","Usp39"
"Slc7a2","Ifitm3"
"Itsn2","Prdx6"
"Acad9","mKIAA0050"
"Mki67","Sirt2"
"Gas7","Sod2"
"Slc7a2","Igtp"
"Gbp3","Tlr2"
"Ifitm3","Parp9"
"Xpo7","Rbck1"
"Cdc73","Blvra"
"Ndufs1","Gngt2"
"F10","Nagk"
"Gbp3","Lgals9"
"Itgb2","Fkbp8"
"Prkar1a","Arhgef2"
"Cyc1","Mrpl43"
"Neu1","Psmc1"
"mFLJ00067","Hausp"
"Snw1","Aip"
"Stk38","Mcm7"
"Sh3glb1","Prdx4"
"Dnaja1","Dnaja2"
"Rps8","Avl9"
"Ccl5","Marcksl1"
"Epx","Dok1"
"Slc2a6","Dpysl2"
"Cwc27","Ebp"
"Psme2","Arf4"
"Pyhin1","Bst2"
"Rpia","Mtap7d1"
"Dnaja2","Syk"
"Sh3glb1","Cycs"
"Clec4d","Rnf213"
"mKIAA0136","Igsf6"
"Sec61g","Scaf4"
"S100a4","Akr1e1"
"Cotl1","Nup43"
"Txlna","Ripk1"
"Gpnmb","Rasa3"
"Xaf1","Trim30a"
"Smarcd2","Isca2"
"Tmsb10","Sh3pxd2b"
"Cdc73","Flna"
"Creg1","Glul"
"Ell","Becn1"
"Ifih1","Znfx1"
"Mobkl1a","Ccdc86"
"Pyhin1","Flnb"
"Ifitm3","Fpr2"
"Prkar2b","Actr1b"
"Erbb2ip","Vps33b"
"Mpp1","Rpl15"
"Pold1","Rad23b"
"Aifm1","Gfpt1"
"Rela","Fcrls"
"Rfc1","Cap1"
"Pla2g7","Cerk"
"Trafd1","Malt1"
"Rprd2","Rpl22l1"
"Snrpa","Chchd5"
"Chmp1b","Snrpc"
"Fpr2","Oas1g"
"Plod1","Polr2a"
"AI607873","mFLJ00294"
"Alkbh5","Brox"
"Aldh9a1","Exosc9"
"Dlst","Erap1"
"Naa15","Gmip"
"Gnpda1","Brcc3"
"Gbp5","Znfx1"
"Stard5","Hk2"
"AK048828","AK089379"
"Rilpl2","Usp25"
"Naa50","Nudt5"
"AK008288","Ccdc86"
"Glg1","Cpped1"
"AK153427","Clpp"
"Fyb","Magohb"
"Ubxn6","Col4a3bp"
"Ppih","Rps26"
"Itgb2","Fkbp8"
"Spnb2","Atp5b"
"Kcmf1","Rpl23"
"Fech","Etfdh"
"Clec4d","C1qb"
"Cnot2","Mrpl38"
"Fpr2","Oas1g"
"Mcm6","Dctn6"
"Fth1","Samd9l"
"Tra2a","Cyc1"
"Dnajc19","Polr1c"
"Lrrc8c","Cryzl1"
"Asns","Ptp4a2"
"Poglut1","Mrpl28"
"Znfx1","Ifit2"
"Mbd2","Suz12"
"Cd40","Bst2"
"Nsun2","Gmfg"
"Wbp2","Dner"
"2310028O11Rik","Fxr1"
"Mobkl1a","Rnaset2a"
"Cfb","Trim30a"
"Ltf","Prkcsh"
"Sash1","Hp"
"Gbas","Pilra"
"Pilra","Tfam"
"Pyhin1","Znfx1"
"Ifi205","Malt1"
"Sep8","Rin3"
"Rsad2","Znfx1"
"Cnot1","Cul4a"
"Puf60","Cul4a"
"Araf","Rrs1"
"NAAA","Pgm3"
"Rab11fip5","Ntan1"
"Trim25","Os9"
"Pyhin1","Irg1"
"Atpif1","Tsnax"
"Gnl1","Phb2"
"Grcc10","Pld3"
"Erbb2ip","Dbnl"
"Ddx5","Akap13"
"Ptcd3","Srgn"
"Tmed9","Isyna1"
"Chmp4b","Ybx1"
"Stx5a","Rab5b"
"Rsad2","Dtx3l"
"Ehd1","Uba1"
"C1qb","Arhgap6"
"Dlgap4","Gsr"
"Sap30bp","Nsun2"
"AK008288","pub"
"Tcof1","Arfip1"
"Gpsm3","Pdha1"
"Sqstm1","Nrp2"
"Pnp","Ftsjd2"
"AK078801","Ear6"
"Rnaset2a","mDj11"
"Akt1","Ankrd44"
"Tor1aip1","Nub1"
"Cd40","Ddx24"
"Hspa9","Cept1"
"Cnot1","AI462493"
"Dnajc13","AI462493"
"Psmb10","AI462493"
"Nup62","Exoc3"
"Hcls1","Bst1"
"Wdr81","Dmxl2"
"Trim25","Frg1"
"Slc2a6","Ampd3"
"Ppih","Myo5b"
"N4bp1","Pfdn1"
"Tbc1d5","Plin3"
"Nfs1","Ano6"
"Uba5","Ano6"
"Cul5","Hmga1"
"Gbp2","Mir147"
"Gbp3","Dhx58"
"Trex1","Oas1g"
"Utp18","Ddx20"
"Nhlrc3","Lrrfip1"
"2810428I15Rik","Gga1"
"Glb1","Pnpo"
"2010012O05Rik","Atp5e"
"Gbp2","App"
"Ndufs2","Sp140"
"Marcksl1","Gm4902"
"Pitrm1","Clpp"
"Ddx58","Fpr2"
"Gm6635","Mtch2"
"Ifi205","Malt1"
"Pyhin1","Ifitm3"
"Tubb2c","Larp4b"
"Diws1t","Crnkl1"
"Znfx1","Sp100"
"Nln","Copz1"
"Hmbs","F8a"
"Supt6h","Mki67ip"
"AK079263","Stam2"
"Psmc4","Rpl35"
"Cops5","Imp4"
"Chm","Nagpa"
"Ehd1","Ftsjd2"
"Slc2a6","Hspa8"
"Rbpms","Mlkl"
"Sort1","Dnase2a"
"Lsm14a","Rps27"
"Zfp830","Nars"
"Atp1b3","2010106G01Rik"
"Snrpc","Trappc6b"
"Marcksl1","Eif1"
"Sf3b1","Srsf9"
"Ddx17","Celf2"
"Pyhin1","Gm4902"
"Nars","Tbl1x"
"AK183279","Ep300"
"Bzw1","Rps9"
"Pnpo","Sod1"
"Slfn5","Slc7a2"
"Robld3","Gga2"
"Hist1h1e","Impdh1"
"Mobkl1a","Nub1"
"Rnaset2a","Slu7"
"Prg2","Rnaseh2a"
"Ddx58","Gbp2"
"Ddx24","Gbp2"
"Kpna3","Rgs14"
"Wdr7","Cstb"
"Stt3a","1300001I01Rik"
"Arhgap9","Rab22B"
"Arhgap25","Wdr81"
"Ddx17","Arhgap25"
"Cfb","Flnb"
"Itgb2","Cd84"
"Trip12","Pdcl"
"Yy1","Akt1"
"1700112E06Rik","Myo9b"
"Fen1","Skiv2l2"
"Gnl1","Srp68"
"Nfkb2","Mapkapk2"
"Pts","Dus3l"
"Irg1","Ddx58"
"nssr 1","Arl6ip1"
"Mrpl41","Dcps"
"Rfc1","Crnkl1"
"Psmc4","Ddost"
"Nub1","1600014C10Rik"
"Cd84","Mfap1b"
"Cops8","Erh"
"Ssb","Nup62"
"Nlrx1","Tyms"
"Smarca4","Cpsf2"
"Glg1","Ppm1a"
"Gpx1","Rpl22"
"Ncln","Bid"
"Coasy","Acadvl"
"Mapk12","Nol6"
"Rnpep","Gmfg"
"Sqstm1","Cpd"
"Nsfl1c","Pcnp"
"Lrrc47","Lamp1"
"Ifi205","Parp9"
"Thumpd1","Nudt5"
"Atp5k","Swap70"
"Med11","Fam134b"
"2610301G19Rik","Trappc1"
"2410001C21Rik","Ddx24"
"Mrps23","Cdv3"
"Mki67","Ssrp1"
"Pcyt1a","Alkbh5"
"Xaf1","Irgm2"
"Tsnax","Psmc1"
"Timm9","Cd68"
"Rpia","Scly"
"Epb4.1","mKIAA0694"
"Kif1b","Arid3a"
"Cd38","Rel"
"Sfxn3","Mccc2"
"Bst2","Ifih1"
"Dhx29","1810006K21Rik"
"Sbds","Il1rn"
"Rpia","Atp1b3"
"Slfn5","Cmpk2"
"Epb4.1","Ythdf2"
"Pdlim2","Hist2h2bb"
"Atp1b3","Rpn1"
"Dnajb11","Nkapl"
"Mtm1","Ikbke"
"Znfx1","Ifitm3"
"Rnf40","Hsd17b10"
"Mat2b","Myg1"
"Tnfaip2","Slc7a2"
"Tsc22d4","Srsf9"
"Trex1","Fpr2"
"Tfrc","Ccdc9"
"Dnaja2","Kdm3b"
"Smarcb1","Kri1"
"Atad2b","Anxa2"
"Prpf3","Mccc2"
"Cybb","Prpf31"
"Smpdl3b","Arfgef1"
"Hmgb3","Akap10"
"Ntan1","Zfp326"
"Chm","Slc25a22"
"Atp5j","Pdcd6"
"Ikbkg","Pkn1"
"Nmi","Ddhd1"
"Rin3","Pdap1"
"Polr2a","Epx"
"Psmb10","Rps3"
"Psmb2","Chchd5"
"Hcls1","Mtm1"
"Cd44","Glipr2"
"Nr3c1","Ifi35"
"Ap3d1","Smc1a"
"Ftsjd2","Sec61b"
"Zfp259","Pura"
"Rpl10a","Pnpla8"
"Slc25a11","Uba3"
"Vti1b","Rpl36al"
"Sec61b","Fmnl3"
"Rbpms","Rnaset2a"
"Gmds","Padi4"
"Mta1","Dap3"
"Tmem55b","Ddx46"
"Ehd1","Hspa8"
"Fech","Nomo1"
"Ric8","Mrpl38"
"Asap1","Slc25a12"
"Dbnl","Fermt3"
"Fpr2","Lgals9"
"Cpeb4","Rsad2"
"BC002288","Acsl1"
"Atp5l","Swap70"
"Cpeb4","Marcksl1"
"Ehd1","Snora33"
"Apoe","Csf1r"
"Oasl1","Saa3"
"Phf10","Sdf4"
"Nasp","Pcnp"
"Fam134b","Daglb"
"Rab4b","Nisch"
"Chmp4b","Mapkapk2"
"Ifitm3","Flnb"
"Nceh1","Cst3"
"Uevld","Slc25a22"
"Cd14","Cyp4v3"
"Epx","Fam63a"
"Eml2","Thop1"
"Eif3m","Rps9"
"Igsf6","Cd44"
"A230051G13Rik","Aifm2"
"Cnot3","Pitrm1"
"Papola","Gapvd1"
"Gsk3b","Smek2"
"Ptgs2","Filip1l"
"Pdxk","Gsr"
"Acat1","Fasn"
"Mta1","Mrpl46"
"Fblim1","Ppp1cc"
"Hagh","Pts"
"Slc25a11","Osbpl11"
"Rhoa","Cyfip1"
"Psmg1","Rcc1"
"Eif3h","Abcf2"
"1810074P20Rik","Ankrd50"
"Smarcd2","Cand1"
"Ndufa9","Rpl22l1"
"Rpl27a","Nsdhl"
"Drap1","Vbp1"
"Rbbp7","Irf5"
"Cat","Bud31"
"Mvk","Spr"
"Lyz2","Etfb"
"Hspa8","Iqgap2"
"Uba5","Fcrls"
"Fcrls","Tbxas1"
"Cpsf7","Fcrls"
"Cmpk2","Clic4"
"Arf1","Mlyk"
"Rnf40","Smarcc2"
"Flnb","Rasa4"
"Slc7a2","Oas3"
"Pcyox1","Stx12"
"Commd9","As3mt"
"Golim4","Rbm34"
"Tbc1d17","Hps3"
"Napg","Otub1"
"Cct4","Sh3tc1"
"Akr1a4","Psma5"
"Thumpd1","Cryzl1"
"Ddx58","Oas1g"
"Thoc3","Rad21"
"Cmpk2","Gbp2"
"Gbp2","Lgals9"
"Clpx","Psmd7"
"Dnmt3a","Cd48"
"Hmbs","Galnt2"
"Prkar1a","Dnaja1"
"Selenbp1","Idh3g"
"Dhrs4","Rilpl2"
"Dnaja1","mKIAA0136"
"Nfkb1","Tpt1"
"Trafd1","C5ar1"
"Mavs","Ppig"
"Mrps9","Nupl1"
"Bloc1s2","Aprt"
"Gabpa","Srrm2"
"Irgm1","Ddx24"
"Paf1","Mrpl13"
"Psmb2","Sfpq"
"Rnf213","Sash1"
"Ftl1","Dhdh"
"Cd38","G3BP"
"Metap1","Rab24"
"Fam134b","Atp5j2"
"Trp53bp1","Rfx1"
"Rnf213","Sash1"
"Atp5l","Tmem168"
"mFLJ00294","Eif1"
"Marcksl1","Hp"
"Rbbp7","Rpa1"
"Slc3a2","Cd274"
"Sdccag1","Hdgf"
"Slc7a2","Cmpk2"
"Ftl1","Sec23a"
"Rnf213","Ifih1"
"Ddx58","Hp"
"Pts","Ndufa9"
"Hmgn5","Nucks1"
"B4galnt1","Rpl28"
"Psmc4","Stip1"
"Ctnnb1","Timm9"
"Bod1l","Rpl14"
"Irgm1","Irgm2"
"Aaas","Myo5b"
"Lepre1","Sfrs3"
"Atp5k","Ckap4"
"Chrac1","Tbce"
"Cpeb4","Ifit2"
"Dpm1","Irf3"
"Gyk","AK041330"
"AK017779","AK008288"
"Basp1","Zbtb8os"
"Ifi205","Nlrp3"
"Haao","Trim23"
"Zranb2","Pfdn2"
"Psmd6","Pppde2"
"Tcea1","Ccdc88b"
"Tbc1d5","Cdv3"
"Sgpl1","Atp6v1a"
"Zfp830","Kdm3b"
"Mtss1","GPx4"
"Pla2g7","Grcc10"
"Ints3","Vps35"
"Wdfy2","H6pd"
"Dusp3","Rexo2"
"Cdc16","Nckap1l"
"Rbpms","Dnaja2"
"Ptpn18","Ripk1"
"Rnf40","Alkbh5"
"Nmral1","Rnpep"
"Cd177","Dnajc8"
"Apoe","mKIAA0074"
"Nup214","Xpo7"
"Tmed10","Dlgap4"
"Cndp2","Whsc2"
"Whsc2","1810035L17Rik"
"Rbm26","AK160502"
"Tnfrsf26","Pgm3"
"Vim","Nisch"
"Sycp1","Dusp23"
"Csde1","Cycs"
"Fam160b1","Psmb2"
"Rnaset2a","Csde1"
"Xrn2","Rpl23"
"Ngp","Hspa5"
"Cops8","Acp2"
"1300010F03Rik","Lpcat3"
"Rfc1","Chchd5"
"Cnn3","Katna1"
"Cnn2","Zfx"
"Zfx","Parg"
"Akr1c13","Atg16l1"
"Pnp","Fau"
"Wdr7","Gda"
"AI607873","Cd14"
"Hscb","Gnb1"
"Serpinb1a","Man2a1"
"Mgst1","Wdr26"
"Pycard","Pank2"
"Hist2h2bb","Ppp1r7"
"Selenbp1","Sfrs3"
"Pnp","Saa3"
"Snx17","Mfn2"
"Chmp4b","Prdx5"
"Rnf40","Iws1"
"Gpnmb","Arhgap25"
"Itga5","Lgals9"
"Rin3","Rps10"
"Ero1lb","Tcof1"
"C1qb","Ero1lb"
"Ero1lb","Rps11"
"Znfx1","Ero1lb"
"Psmc4","Dkc1"
"Fkbp8","Srsf9"
"Slc7a2","Hp"
"Tmpo","Atf7ip"
"Anpep","Nmt1"
"Camk1d","Mical1"
"Cmpk2","Malt1"
"Synj2bp","Wdr81"
"Synj2bp","Kpna6"
"Synj2bp","Gba"
"Fabp4","Ppp1cc"
"Cd84","Akap13"
"Dnaja2","Sh3glb1"
"Bst2","Gm4902"
"Rpl30","Cwc15"
"Trabd","Hibadh"
"Acsl1","Rasa4"
"pub","Rps3"
"Selenbp1","Mrps26"
"Tmod3","Gtf2f2"
"Cebpb","Oas1g"
"Znfx1","Trex1"
"Srp72","Idh3a"
"Bmp2k","Fto"
"Exoc7","Glg1"
"Pyhin1","Irgm1"
"mKIAA0676","Rnf40"
"Pcbp2","Eml2"
"Micall2","Wbp11"
"Pank4","Ptplb"
"Itgav","Gbe1"
"Itgav","Scarb2"
"Psmf1","Itgav"
"Serpinb2","Mt1"
"Apobec1","Dcaf8"
"Gpnmb","Ntan1"
"Rtn4","Ldhb"
"Slc7a2","Parp14"
"Ccl5","Cpeb4"
"Pcx","Pycrl"
"Atxn3","Prpf6"
"2310022A10Rik","Arpc4"
"Snx27","Dennd1b"
"Atp1a1","Rab22B"
"1300010F03Rik","Psmd8"
"mVps16","Mrpl13"
"Acsl1","Parp9"
"Rpl3","Lnp"
"Serpinb2","Dnaja2"
"Lbr","Atp6v0d1"
"Tmed9","Osbpl11"
"Ube2n","Ntan1"
"Xaf1","Gbp3"
"Casp8","Col4a3bp"
"Cytip","Nkrf"
"Dnaja1","Tor1aip1"
"Il1a","AI607873"
"Pdlim2","Pfdn4"
"Eif6","Usp47"
"Xrcc4","Vti1a"
"Vti1a","BC031181"
"Mobkl1a","Fmnl2"
"Glt25d1","Spnb2"
"Renbp","Ndufa9"
"Ube2v1","Reps1"
"Atp5k","Galns"
"Nr3c1","Mir147"
"Cnbp","Agap3"
"Dcaf7","Sgpl1"
"Mpo","Fam62b"
"Rbm25","Ttf2"
"Snrpa","4931406C07Rik"
"Cdc73","Tap1"
"Eif6","Arap1"
"Stx12","Med28"
"Baz1a","Nup62"
"Ddx58","Ifitm3"
"Fxr1","Nmt1"
"Gm6635","Cog5"
"Yipf5","Nfyc"
"Ddx24","Cmpk2"
"Impdh1","Hist1h1d"
"Cmas","Nup93"
"Gtl-13","Ewsr1"
"Plcb3","Polr1c"
"Rps11","Qtrt1"
"Mcm4","Mcm5"
"Vps18","Ppp1r11"
"Trex1","Oas3"
"Cfb","AK087295"
"Ptgs2","Marcksl1"
"Baz1a","Twf1"
"Irgm1","Dtx3l"
"Clic4","Sp110"
"Sort1","Pgrmc2"
"Psmb10","Rab8B"
"Gmppb","Cpne2"
"Rpl37a","Ruvbl1"
"KIAA0143","Atp6v0d2"
"Ccna2","Dock1"
"Gcc2","Pmpca"
"N4bp1","Bzw1"
"Arpc5l","Ppp2cb"
"Oasl1","Oas3"
"Cops5","Lamb1"
"Lamb1","Clasp2"
"Mrps23","Rqcd1"
"Car2","Uba3"
"Cdc73","Rpl23a"
"Pts","Mrpl27"
"Fmnl3","Raf1"
"Bst2","Sash1"
"Pfn1","Ppfia1"
"Cd44","Itgb1"
"Irg1","Parp9"
"Car2","Ckap4"
"Irg1","Dtx3l"
"Ireb2","Itih5"
"Dhrs4","Ear6"
"Uevld","Nme1"
"Serpinb1a","Cep170"
"Gbp3","AK087295"
"Kpna3","Rps7"
"Cobra1","Bnip3"
"Arcn1","Gtf2f2"
"Ifi35","Slc2a6"
"pub","Rab8B"
"Hn1","Tagln2"
"Snapin","Rab4b"
"Recql","Dnajc8"
"Recql","Dnajc13"
"Recql","Commd6"
"Recql","Tbc1d13"
"Recql","Rabep2"
"Ddx18","Fam96b"
"Ube2w","Uxs1"
"Atp5f1","Slc25a1"
"Smarca5","Cops8"
"Xrn1","Acly"
"Stom","Wdr82"
"Psmb10","Rhbdf2"
"Wdr75","1810029B16Rik"
"Clk2","Cd68"
"Ehd1","Eif2ak2"
"Igf2bp3","Usp24"
"Rsad2","Trim30a"
"Pitpnb","Ube3a"
"Snapin","Pam16"
"Rab8a","Atp5e"
"Stom","Akt1"
"Ube2v1","Sgpl1"
"Hectd3","Ubqln2"
"Nub1","Rgs14"
"Plxdc2","Sart1"
"Rpia","Gusb"
"Pddc1","Lsm12"
"Wdr77","Rpa3"
"Ring1","1110057K04Rik"
"Slc7a2","Ifit3"
"Uba2","Anp32b"
"Cdc16","Eif2b1"
"Cpeb4","Cmpk2"
"Opa1","Smarcc2"
"Eif2c2","Mdn1"
"Dtx3l","2010305A19Rik"
"Atp5k","Tmx3"
"Eif6","Tomm34"
"Clec4n","Bag5"
"Got2","Acads"
"Ncbp2","Epc2"
"AK088734","Ikbkap"
"mKIAA1108","Zcchc6"
"Prex1","Hnrnpa1"
"Igsf6","pub"
"Baiap2","Gmeb2"
"Zc3h13","Gmeb2"
"Tcof1","Gmeb2"
"Fyb","Gmeb2"
"Gmeb2","Abi3"
"Cog4","Agps"
"Ctps","Mta2"
"Fmnl3","Usf1"
"Slc3a2","1810029B16Rik"
"Akr1a4","Tcof1"
"1810009A15Rik","Sdhaf2"
"Bloc1s2","Rbm7"
"Pla2g7","Thbs1"
"N4bp1","Arhgdib"
"Ptgs2","Rsad2"
"Tmed10","Prpf31"
"Gusb","Nucb2"
"Sqstm1","Slfn5"
"Mettl13","Rcc2"
"Tcea1","Rpl37a"
"Gbp3","Oas3"
"Sqstm1","Ifit1"
"Sod2","Ppp1r12a"
"Ddx24","Cmpk2"
"Smpdl3b","BC029331"
"Sgpl1","Gnaq"
"Prkar1a","Dnajb1"
"Abcf1","Anp32e"
"Acss2","Asl"
"2610301G19Rik","Cog6"
"Recql","Acadsb"
"Ddx24","Irgm2"
"Uqcrc2","Ptgs1"
"Tpt1","Prdx5"
"Thbs1","Tbk1"
"Psmb10","Mir147"
"Cyb5r4","Ak4"
"Hp1bp3","Prdx3"
"Car2","Phpt1"
"Micall2","1810013D10Rik"
"Ehd1","Raf1"
"Lrch3","Rbpms"
"Cd40","Filip1l"
"Rgs10","2500003M10Rik"
"Pld3","Atp6v1b2"
"Arhgap25","Ugcgl1"
"Rnf114","Cggbp1"
"Atrx","Psmb6"
"Atrx","Galk1"
"Mtpn","Mis12"
"Trnt1","Mis12"
"Lrrc25","Synj1"
"Vps33b","Snrpa1"
"Ankrd50","Stk3"
"Rel","Mlkl"
"Cmpk2","Gch1"
"Rnf213","AK087295"
"Get4","Numb"
"Srxn1","Efhd2"
"Becn1","Eif2d"
"Mink1","Sh3gl1"
"Ifit1","Ifit3"
"Marcksl1","Znfx1"
"Nop10","Pdcd11"
"Pitpnb","Fmr1"
"Rsad2","Itga5"
"Pold1","Actr3"
"Cd38","Tor1aip1"
"2610101N10Rik","Rpl26"
"H2-Ke2","GPx4"
"Cnot1","Rabep2"
"Clec4d","Nlrp3"
"Hp1bp3","Suclg1"
"Map2k4","Slmap"
"Ric8","Sec61a2"
"Supt16h","Pdia4"
"1700112E06Rik","Nagpa"
"Pet112l","Coro2a"
"Cd48","Ap2b1"
"Nfkb1","Tgm2"
"Slc2a6","Dnaja2"
"Irgm1","Malt1"
"Rpl10","Dnaja3"
"Rel","Dnaja2"
"Glt25d1","Ndufa10"
"Ifit3","Flnb"
"Dync1li1","Rasa4"
"Lasp1","Exoc1"
"Sec24b","Rap2b"
"Tmed10","Lman1"
"Gm3258","Parp1"
"Pmpca","Rac1"
"Syk","Prdx5"
"Hp","Stat1"
"Sphk2","Ywhag"
"Oasl1","Marcksl1"
"AK164362","Plxna1"
